code,name,lecturer,description,ects
EE4C15,4C15 ANALOGUE SIGNAL PROCESSING,EE4C15,EE4C15,0
EEU44C15,4C15 ANALOGUE SIGNAL PROCESSING,EEU44C15,EEU44C15,0
EE4C16,4C16 DEEP LEARNING AND ITS APPLICATION,EE4C16,EE4C16,0
EEU44C16,4C16 DEEP LEARNING AND ITS APPLICATIONS,EEU44C16,EEU44C16,0
EE4C02,4C2 MICROELECTRONIC CIRCUITS,EE4C02,EE4C02,0
EEU44C02,4C2 MICROELECTRONIC CIRCUITS,EEU44C02,EEU44C02,0
EE4C04,4C4 NEXT GENERATION NETWORKS,EE4C04,EE4C04,0
EEU44C04,4C4 NEXT GENERATION NETWORKS,EEU44C04,EEU44C04,0
EE4C05,4C5 DIGITAL SIGNAL PROCESSING,EE4C05,EE4C05,0
EEU44C05,4C5 DIGITAL SIGNAL PROCESSING,EEU44C05,EEU44C05,0
EE4C07,4C7 INFORMATION AND COMMUNICATION THEORY,EE4C07,EE4C07,0
EEU44C07,4C7 INFORMATION AND COMMUNICATION THEORY,EEU44C07,EEU44C07,0
EE4C08,4C8 DIGITAL IMAGE AND VIDEO PROCESSING,EE4C08,EE4C08,0
EEU44C08,4C8 DIGITAL IMAGE AND VIDEO PROCESSING,EEU44C08,EEU44C08,0
CS4LL5,4CSLL5 ADVANCED COMPUTATIONAL LINGUISTICS,CS4LL5,CS4LL5,0
CS4D2A,4D2A INFORMATION MANAGEMENT II,CS4D2A,CS4D2A,0
CS4D2B,4D2B KNOWLEDGE ENGINEERING,CS4D2B,CS4D2B,0
EE4E02,4E02 BIOMEDICAL ENGINEERING PROJECT,EE4E02,EE4E02,0
ME4E02,4E02 BIOMEDICAL ENGINEERING PROJECT,ME4E02,ME4E02,0
CE4E1,4E1 MANAGEMENT FOR ENGINEERS,CE4E1,CE4E1,0
CS4E1,4E1 MANAGEMENT FOR ENGINEERS,CS4E1,CS4E1,0
EE4E1,4E1 MANAGEMENT FOR ENGINEERS,EE4E1,EE4E1,0
CEU44E01,4E1 MANAGEMENT FOR ENGINEERS,CEU44E01,CEU44E01,0
ME4E1,4E1 MANAGEMENT FOR ENGINEERS Mechanical,ME4E1,ME4E1,0
CE4E2,4E2 CIVIL ENGINEERING PROJECT,CE4E2,CE4E2,0
CEU44E02,4E2 CIVIL ENGINEERING PROJECT,CEU44E02,CEU44E02,0
CS4E2,4E2 COMPUTER ENGINEERING PROJECT,CS4E2,CS4E2,0
EE4E2,4E2 ELECTRONIC ENGINEERING PROJECT,EE4E2,EE4E2,0
EEU44E02,4E2 ELECTRONIC ENGINEERING PROJECT,EEU44E02,EEU44E02,0
ME4E2,4E2 MECHANICAL ENGINEERING PROJECT,ME4E2,ME4E2,0
MEU44E02,4E2 MECHANICAL ENGINEERING PROJECT,MEU44E02,MEU44E02,0
CE4E2B,4E2B CIVIL ENGINEERING DESIGN GROUP PROJECT PART 1,CE4E2B,CE4E2B,0
CEU44E2B,4E2B CIVIL ENGINEERING DESIGN GROUP PROJECT PART 1,CEU44E2B,CEU44E2B,0
CE4E2C,4E2B CIVIL ENGINEERING DESIGN GROUP PROJECT PART 2,CE4E2C,CE4E2C,0
CEU44E2C,4E2C CIVIL ENGINEERING DESIGN GROUP PROJECT PART 2,CEU44E2C,CEU44E2C,0
ME4E04,4E4 INDUSTRIAL PARTNERSHIPINTERNSHIP,ME4E04,ME4E04,0
EE4E04,4E4 INDUSTRIAL PARTNERSHIPINTERNSHIP,EE4E04,EE4E04,0
MEU44E04,4E4 INDUSTRIAL PARTNERSHIPINTERNSHIP MECHANICAL,MEU44E04,MEU44E04,0
CS4E04,4E4 TRINITY INDUSTRY PARTNERSHIP PROJECT,CS4E04,CS4E04,0
CE4E04,4E4 TRINITY INDUSTRY PARTNERSHIP PROJECT Civil,CE4E04,CE4E04,0
CEU44E04,4E4 TRINITY INDUSTRY PARTNERSHIP PROJECT CIVIL,CEU44E04,CEU44E04,0
ME4EM4,4E4 ENGINEERING WITH MANAGEMENT INDUSTRIAL PARTNERSHIPPROJECT,ME4EM4,ME4EM4,0
ME4E5,4E5 INNOVATION IN PRODUCT DEVELOPMENT,ME4E5,ME4E5,0
ME4MM1,4MEMS1 PROJECT,ME4MM1,ME4MM1,0
MEU44EM1,4MEMS1 PROJECT,MEU44EM1,MEU44EM1,0
ME4MM2,4MEMS2 ADVANCED MANUFACTURING I  DIGITAL MANUFACTURING,ME4MM2,ME4MM2,0
MEU44EM2,4MEMS2 ADVANCED MANUFACTURNG I  DIGITAL MANUFACTURING,MEU44EM2,MEU44EM2,0
ME4MM3,4MEMS3 SUPPLY CHAIN MANAGEMENT,ME4MM3,ME4MM3,0
MEU44EM3,4MEMS3 SUPPLY CHAIN MANAGEMENT,MEU44EM3,MEU44EM3,0
ME4MM9,4MEMS9 USER CENTERED DESIGN INNOVATION,ME4MM9,ME4MM9,0
MEU44EM9,4MEMS9 USER CENTRED DESIGN INNOVATION,MEU44EM9,MEU44EM9,0
CE5A1,5A1 CIVIL ENGINEERING MATERIALS,CE5A1,CE5A1,0
CE5A62,5A62 STRUCTURES II ADVANCED DESIGN OF STRUCTURES,CE5A62,CE5A62,0
ME5B01,5B01 FLOW INDUCED VIBRATION  FLUID STRUCTURE INTERACTION,ME5B01,ME5B01,0
ME5B10,5B10 INSTRUMENTATION AND EXPERIMENTAL TECHNIQUES,ME5B10,ME5B10,0
ME5B02,5B2 ADVANCED MATERIALS,ME5B02,ME5B02,0
ME5B03,5B3 ADVANCED THERMAL FLUIDS DESIGN,ME5B03,ME5B03,0
ME5B04,5B4 ENGINEERING VIBRATIONS AND NOISE,ME5B04,ME5B04,0
ME5B09,5B9 CONTROL ENGINEERING II,ME5B09,ME5B09,0
ME5BIO1,5BIO1 MEDICAL DEVICES DESIGN,ME5BIO1,ME5BIO1,0
